编号,文件名,资料位置,建议插入位置,图片内容,状态
1,001-Agent全书知识地图.png,content/frontmatter/README.md,全书知识地图之后,十篇内容架构及从基础到生产与面试的学习路线,已生成
2,002-自动化自主性光谱.png,content/part-01-foundations/n02-workflow-copilot-rpa-与-agent/README.md,核心概念之后,RPA、Workflow、Copilot、Agent的控制权与人工角色对比,已生成
3,003-Agent核心运行循环.png,content/part-01-foundations/n03-agent-的运行循环与核心组件/README.md,工作机制之后,目标、决策、行动、观察、记忆、终止校验的闭环,已生成
4,004-提示工程工具箱.png,content/part-02-primitives/n04-指令与系统化提示工程/README.md,核心概念之后,零样本、少样本、思维链、自洽性、结构化提示与软硬护栏,已生成
5,005-推理规划与搜索能力阶梯.png,content/part-02-primitives/n05-推理-规划与搜索/README.md,工作机制之后,CoT、ReAct、ToT的能力、成本与复杂度递进,已生成
6,006-Function Calling职责边界.png,content/part-02-primitives/n06-工具与-function-calling/README.md,工作机制之后,模型提出调用，运行时校验、执行并回填结果,已生成
7,007-三层记忆宫殿.png,content/part-02-primitives/n08-记忆系统/README.md,核心概念之后,短期记忆、工作状态、长期记忆及长期记忆分类,已生成
8,008-Agentic工作流与多智能体协作.png,content/part-03-orchestration/n11-agentic-工作流模式/README.md,模式选择之前,提示链、路由、并行、编排者-工作者、评估-优化,已生成
9,009-RAG到Agentic RAG.png,content/part-04-context-retrieval/n14-agentic-rag-与-grounding/README.md,工作机制之后,固定检索快路与自主检索慢路及证据校验,已生成
10,010-上下文工程行李箱.png,content/part-04-context-retrieval/n15-上下文工程/README.md,核心模型之后,有限窗口中的Write、Select、Compress、Isolate及预算预留,已生成
11,011-生产级安全与质量堡垒.png,content/part-06-quality-safety/n26-安全-权限与人工审批/README.md,分层控制之后,六层纵深防御与评估、Trace、回归测试、人工审批,已生成
12,012-从Demo到生产与面试.png,content/part-07-production/n29-生产部署/README.md,部署演进之后,从最小Demo到性能、部署、恢复、数据飞轮与面试,已生成
13,013-普通ReAct与反思Agent.png,content/part-02-primitives/n09-反思与自我改进/README.md,工作机制之后,执行层与元认知监督层、可信反馈和经验沉淀,已生成
14,014-工具调用运行时双铁律.png,content/part-02-primitives/n07-工具调用协议状态机/README.md,核心概念之后,模型只说不做、运行时执行、模型无状态、完整上下文,已生成
15,015-MCP集成枢纽.png,content/part-03-orchestration/n10-mcp-模型上下文协议/README.md,核心概念之后,Host、Client、Server与Tools、Resources、Prompts,已生成
16,016-多智能体三种协作拓扑.png,content/part-03-orchestration/n12-多智能体系统/README.md,拓扑与通信之后,Supervisor、Network、Sequential及三道上线核验,已生成
17,017-RAG检索工程流水线.png,content/part-04-context-retrieval/n13-rag-基础与检索工程/README.md,工作机制之后,离线索引与在线权限过滤、召回、融合、重排、组装,已生成
18,018-Grounding证据链.png,content/part-04-context-retrieval/n14-agentic-rag-与-grounding/README.md,Grounding内容之后,声明到证据片段再到授权来源版本的可追溯链路,已生成
19,019-长任务状态与检查点.png,content/part-04-context-retrieval/n16-长任务状态管理/README.md,状态模型与提交边界之后,工作记忆、任务状态、原始记录、检查点与幂等键,已生成
20,020-Agent框架选型.png,content/part-05-frameworks/n17-框架全景与选型/README.md,选型决策之后,轻量工具代理、类型契约、状态编排的选择依据,已生成
21,021-PydanticAI三层输出约束.png,content/part-05-frameworks/n19-pydanticai/README.md,工作机制之后,框架解析、字段校验、业务校验及事实正确性边界,已生成
22,022-LangGraph状态车站.png,content/part-05-frameworks/n20-langgraph-与状态图/README.md,工作机制之后,状态、节点、条件边、Reducer、检查点与Interrupt,已生成
